









Frequency of observations in the selected location(s).:
Number of taxa: 	344

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	189.0	145.0	138.0	237.0	128.0	148.0	189.0	198.0	130.0	112.0	127.0	169.0	134.0	142.0	299.0	261.0	113.0	116.0	81.0	116.0	94.0	131.0	118.0	113.0	155.0	243.0	283.0	313.0	187.0	194.0	147.0	307.0	191.0	127.0	135.0	162.0	114.0	182.0	145.0	187.0	140.0	163.0	160.0	211.0	129.0	138.0	137.0	190.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.6349206	0.6068966	0.6449275	0.5274262	0.4296875	0.4189189	0.3703704	0.3333333	0.2692308	0.25	0.2362205	0.2071006	0.0746269	0.056338	0.0602007	0.0498084	0.0530973	0.0258621	0.0	0.0258621	0.0	0.0	0.0084746	0.0265487	0.0129032	0.0082305	0.0106007	0.0063898	0.0106952	0.0309278	0.0612245	0.0553746	0.1727749	0.0708661	0.0518519	0.0987654	0.1140351	0.1153846	0.1172414	0.2673797	0.2642857	0.4110429	0.4	0.535545	0.6046512	0.6376812	0.620438	0.6473684	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.1375661	0.1241379	0.1956522	0.1265823	0.1015625	0.0608108	0.0634921	0.0808081	0.0615385	0.0535714	0.0787402	0.0236686	0.0149254	0.0	0.0033445	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054945	0.0068966	0.0588235	0.0571429	0.0920245	0.14375	0.1848341	0.1860465	0.1014493	0.1751825	0.1526316	
Snow/Ross's Goose (<em class="sci">Anser caerulescens/rossii</em>)	0.021164	0.0	0.0072464	0.0015	0.015625	0.0	0.026455	0.0151515	0.0153846	0.0	0.015748	0.0	0.0	0.0	0.0	0.0	0.0	0.0086207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074074	0.0	0.0	0.0	0.0	0.0160428	0.0071429	0.0122699	0.0125	0.0	0.0155039	0.0072464	0.0072993	0.0263158	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.6243386	0.6482759	0.6811594	0.6118143	0.5	0.5675676	0.5343915	0.5757576	0.4461538	0.4821429	0.4724409	0.5088757	0.4850746	0.5140845	0.4147157	0.210728	0.079646	0.0603448	0.037037	0.0	0.0	0.0152672	0.0169492	0.0088496	0.0193548	0.0329218	0.0212014	0.0	0.0	0.0	0.0	0.0032573	0.0	0.015748	0.1703704	0.3765432	0.5087719	0.4285714	0.4896552	0.4278075	0.4214286	0.4969325	0.425	0.6208531	0.6744186	0.6304348	0.6569343	0.6368421	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.026455	0.0137931	0.0652174	0.0337553	0.0390625	0.0405405	0.015873	0.020202	0.0230769	0.0	0.007874	0.0118343	0.0	0.0	0.0100334	0.0	0.0	0.0	0.0	0.0086207	0.0	0.0	0.0	0.0176991	0.0064516	0.0	0.0070671	0.0	0.0	0.0051546	0.0	0.0260586	0.0837696	0.0314961	0.0148148	0.0308642	0.0350877	0.032967	0.0275862	0.0962567	0.1142857	0.0429448	0.0625	0.0995261	0.124031	0.0362319	0.0875912	0.0684211	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.1851852	0.2413793	0.2826087	0.2320675	0.2578125	0.2702703	0.2698413	0.3282828	0.3384615	0.4017857	0.4409449	0.4674556	0.5298507	0.5704225	0.5284281	0.532567	0.4424779	0.4051724	0.308642	0.2327586	0.1808511	0.1603053	0.1101695	0.1238938	0.2516129	0.090535	0.1378092	0.1661342	0.144385	0.1546392	0.1904762	0.2214984	0.2198953	0.2755906	0.3333333	0.4691358	0.2807018	0.2967033	0.1724138	0.2352941	0.2214286	0.1840491	0.16875	0.2180095	0.1627907	0.2101449	0.1824818	0.2526316	
Domestic goose sp. x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.005291	0.0	0.0	0.0	0.0078125	0.0	0.0015	0.010101	0.0	0.0	0.007874	0.0	0.0	0.0070423	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087719	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0094787	0.0	0.0	0.0	0.0052632	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0015	0.0	0.0	0.0	0.0067568	0.010582	0.010101	0.0615385	0.0	0.007874	0.0	0.0223881	0.0422535	0.0	0.0076628	0.0265487	0.0603448	0.0	0.0258621	0.0106383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021978	0.0	0.0	0.0071429	0.0	0.00625	0.0	0.0	0.0	0.0	0.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.5291005	0.5172414	0.4057971	0.3797468	0.2890625	0.2094595	0.0952381	0.0454545	0.0230769	0.0267857	0.0	0.0	0.0074627	0.0070423	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0064516	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0160428	0.0428571	0.2269939	0.29375	0.436019	0.5116279	0.4855072	0.5547445	0.5947368	
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0	0.0	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.00625	0.0047393	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0164609	0.0777385	0.0383387	0.026738	0.0309278	0.0952381	0.0358306	0.2041885	0.0787402	0.0518519	0.0185185	0.0087719	0.0054945	0.0137931	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.010582	0.0068966	0.0144928	0.0042194	0.015625	0.0472973	0.010582	0.0050505	0.0076923	0.0267857	0.015748	0.0414201	0.0223881	0.028169	0.0334448	0.0689655	0.0707965	0.137931	0.1358025	0.1293103	0.0744681	0.0992366	0.1271186	0.1238938	0.083871	0.0493827	0.0706714	0.0383387	0.0106952	0.0670103	0.0272109	0.0390879	0.026178	0.0314961	0.0666667	0.0308642	0.0175439	0.0054945	0.0	0.0213904	0.0	0.006135	0.0	0.0094787	0.0155039	0.0217391	0.0072993	0.0052632	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.1375661	0.1586207	0.1884058	0.1772152	0.203125	0.1081081	0.0740741	0.0909091	0.1461538	0.1607143	0.1968504	0.2485207	0.238806	0.2535211	0.1638796	0.164751	0.0530973	0.0086207	0.0740741	0.0344828	0.0957447	0.0839695	0.059322	0.0973451	0.0580645	0.0452675	0.024735	0.0255591	0.0320856	0.0103093	0.0	0.009772	0.0209424	0.0314961	0.0296296	0.0308642	0.0701754	0.043956	0.062069	0.0962567	0.1142857	0.1411043	0.15625	0.1184834	0.1472868	0.1449275	0.1240876	0.1052632	
Cinnamon Teal (<em class="sci">Spatula cyanoptera</em>)	0.8888889	0.8551724	0.9057971	0.8227848	0.8671875	0.8445946	0.7671958	0.8131313	0.8692308	0.8571429	0.8346457	0.8934911	0.880597	0.8943662	0.7859532	0.8237548	0.6725664	0.6982759	0.617284	0.4827586	0.5957447	0.5343511	0.5932203	0.460177	0.3935484	0.4156379	0.254417	0.2076677	0.2513369	0.2164948	0.3265306	0.2117264	0.1780105	0.3385827	0.3555556	0.4197531	0.5350877	0.5549451	0.6068966	0.7058824	0.7285714	0.7852761	0.84375	0.8436019	0.875969	0.826087	0.9051095	0.8526316	
Blue-winged x Cinnamon Teal (hybrid) (<em class="sci">Spatula discors x cyanoptera</em>)	0.005291	0.0	0.0	0.0	0.015625	0.0	0.0	0.010101	0.0153846	0.0	0.007874	0.0059172	0.0	0.0	0.0033445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052632	
Blue-winged/Cinnamon Teal (<em class="sci">Spatula discors/cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0031949	0.0	0.0051546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
