Species,january,february,march,april,may,june,july,august,september,october,november,december
Snow Goose,60,39,24,6,3,1,1,4,10,15,40,63
Greater White-fronted Goose,62,65,68,61,50,57,53,57,45,48,47,51
Canada Goose,55,52,48,40,30,22,20,25,35,45,50,58
Northern Pintail,70,68,60,45,30,15,10,12,25,50,65,72
Mallard,65,60,55,50,45,40,38,42,48,55,60,66
American Wigeon,62,58,52,44,35,25,20,22,33,50,58,64
Green-winged Teal,66,62,58,50,38,28,22,26,40,55,62,68
Sandhill Crane,8,13,12,0,0,0,0,0,7,22,15,9
Black-necked Stilt,5,10,25,45,60,55,48,42,35,20,8,4
American Avocet,8,15,30,50,65,58,50,45,38,25,12,6
Great Egret,12,18,30,45,55,60,58,55,40,25,15,10
Great Blue Heron,30,35,40,45,48,50,48,46,44,38,34,32
