Month,Water Level (%),Snow Goose,Greater White-fronted Goose,Canada Goose,Northern Pintail,Mallard,American Wigeon,Green-winged Teal,Sandhill Crane,Black-necked Stilt,American Avocet,Great Egret,Great Blue Heron
january,73.43,60,62,55,70,65,62,66,8,5,8,12,30
february,100.00,39,65,52,68,60,58,62,13,10,15,18,35
march,86.90,24,68,48,60,55,52,58,12,25,30,30,40
april,72.85,6,61,40,45,50,44,50,0,45,50,45,45
may,47.36,3,50,30,30,45,35,38,0,60,65,55,48
june,41.94,1,57,22,15,40,25,28,0,55,58,60,50
july,40.35,1,53,20,10,38,20,22,0,48,50,58,48
august,40.48,4,57,25,12,42,22,26,0,42,45,55,46
september,40.68,10,45,35,25,48,33,40,7,35,38,40,44
october,40.91,15,48,45,50,55,50,55,22,20,25,25,38
november,51.14,40,47,50,65,60,58,62,15,8,12,15,34
december,67.75,63,51,58,72,66,64,68,9,4,6,10,32
